Customer_ID,Customer_Type,Nationality,Preferred_Location,Preferred_Property_Type,Budget_AED
CUST-003071,End User,Pakistani,,Villa,4645000.0
CUST-000196,End User,Indian,Business Bay,Townhouse,2355000.0
CUST-003779,End User,British,Dubai Creek Harbour,Studio,2115000.0
CUST-002262,Investor,British,Dubai Marina,Apartment,
CUST-004338,Investor,Saudi,Dubai South,Apartment,1615000.0
CUST-001441,Investor,Russian,Mohammed Bin Rashid City (MBR City),Apartment,1190000.0
CUST-001126,End User,Emirati,Jumeirah Lake Towers (JLT),Penthouse,5440000.0
CUST-000677,Investor,South African,Damac Hills 2,Apartment,1765000.0
CUST-002606,End User,Pakistani,Dubai Hills Estate,Studio,1390000.0
CUST-003019,Investor,Chinese,Dubai Hills Estate,Townhouse,1345000.0
CUST-003033,End User,Indian,Al Furjan,Apartment,1515000.0
CUST-000162,End User,British,Dubai Marina,Apartment,1875000.0
CUST-002064,End User,Canadian,Jumeirah Lake Towers (JLT),Villa,4745000.0
CUST-003691,Investor,Russian,Jumeirah Lake Towers (JLT),Apartment,1145000.0
CUST-001842,Investor,Saudi,Palm Jumeirah,Villa,5415000.0
CUST-004559,Investor,Jordanian,Downtown Dubai,Villa,1665000.0
CUST-000079,Investor,Indian,Arabian Ranches,Villa,2190000.0
CUST-001537,Investor,Jordanian,Jumeirah Lake Towers (JLT),Studio,1165000.0
CUST-002765,Investor,,Downtown Dubai,Apartment,1260000.0
CUST-002922,Investor,British,Dubai Marina,Villa,4195000.0
CUST-002173,End User,Chinese,,Apartment,1790000.0
CUST-004434,Investor,Egyptian,,Apartment,1290000.0
CUST-000568,End User,Jordanian,Dubai Creek Harbour,Studio,1895000.0
CUST-001948,End User,Pakistani,Mohammed Bin Rashid City (MBR City),Apartment,1390000.0
CUST-003384,Investor,French,Mohammed Bin Rashid City (MBR City),Townhouse,1270000.0
CUST-001253,Investor,British,Jumeirah Village Circle (JVC),Apartment,1865000.0
CUST-001983,End User,British,Mohammed Bin Rashid City (MBR City),Townhouse,3330000.0
CUST-000403,End User,Indian,Downtown Dubai,Apartment,1750000.0
CUST-003894,Investor,Russian,Jumeirah Village Circle (JVC),Studio,400000.0
CUST-004435,End User,,Mohammed Bin Rashid City (MBR City),Apartment,1520000.0
CUST-002317,End User,Chinese,Jumeirah Village Circle (JVC),Apartment,1475000.0
CUST-000688,End User,Pakistani,Dubai Marina,Villa,8615000.0
CUST-000460,Investor,Indian,Dubai Hills Estate,Studio,1465000.0
CUST-000146,End User,Italian,Downtown Dubai,Apartment,1690000.0
CUST-004759,End User,French,Arabian Ranches,Apartment,580000.0
CUST-002755,Investor,Indian,Dubai Hills Estate,Studio,1115000.0
CUST-004139,Investor,Pakistani,Jumeirah Lake Towers (JLT),Apartment,1545000.0
CUST-004312,Investor,Emirati,Dubai Silicon Oasis,Apartment,1950000.0
CUST-001570,Investor,British,Mohammed Bin Rashid City (MBR City),Townhouse,2530000.0
CUST-001228,End User,Emirati,Al Furjan,Apartment,1175000.0
CUST-003789,Investor,British,Mohammed Bin Rashid City (MBR City),Apartment,1895000.0
CUST-002689,Investor,Canadian,Downtown Dubai,Apartment,645000.0
CUST-002037,Investor,Russian,Arabian Ranches,Apartment,1945000.0
CUST-001859,Investor,British,Downtown Dubai,Apartment,1235000.0
CUST-003491,End User,,Jumeirah Lake Towers (JLT),Apartment,1320000.0
CUST-003736,Investor,Emirati,Jumeirah Lake Towers (JLT),Apartment,1145000.0
CUST-000005,Investor,,Al Furjan,Villa,4360000.0
CUST-004134,End User,Pakistani,Jumeirah Village Circle (JVC),Villa,4695000.0
CUST-001273,Investor,French,Downtown Dubai,Apartment,460000.0
CUST-004636,Investor,Chinese,Business Bay,Townhouse,3580000.0
CUST-001344,Investor,Indian,Dubai Hills Estate,Villa,3300000.0
CUST-003987,End User,Nigerian,Jumeirah Lake Towers (JLT),Apartment,2110000.0
CUST-000736,Investor,,Al Furjan,Townhouse,3035000.0
CUST-001194,Investor,Egyptian,Arabian Ranches,Penthouse,4240000.0
CUST-003440,End User,Chinese,Dubai Marina,Studio,1090000.0
CUST-003450,Investor,Indian,Palm Jumeirah,Studio,1120000.0
CUST-000214,Investor,Pakistani,Jumeirah Village Circle (JVC),Townhouse,3110000.0
CUST-001638,Investor,Emirati,Jumeirah Village Circle (JVC),Apartment,1070000.0
CUST-001662,End User,Indian,Mohammed Bin Rashid City (MBR City),Penthouse,4655000.0
CUST-004147,End User,Egyptian,Dubai Hills Estate,Villa,2660000.0
CUST-004349,Investor,Indian,Jumeirah Village Circle (JVC),Apartment,1915000.0
CUST-004663,Investor,Jordanian,Al Furjan,Apartment,1335000.0
CUST-000767,End User,Canadian,Dubai Creek Harbour,Studio,1430000.0
CUST-003940,Investor,American,Jumeirah Lake Towers (JLT),Villa,2055000.0
CUST-002452,End User,Russian,Mohammed Bin Rashid City (MBR City),Apartment,1430000.0
CUST-004884,Investor,Canadian,Dubai South,Apartment,2230000.0
CUST-001383,Investor,Pakistani,Al Furjan,Villa,3730000.0
CUST-003770,Investor,British,Dubai Marina,Apartment,1190000.0
CUST-002611,End User,Chinese,Al Furjan,Penthouse,5605000.0
CUST-004311,Investor,Emirati,Dubai Hills Estate,Apartment,1240000.0
CUST-003875,End User,Chinese,Dubai Creek Harbour,Penthouse,9285000.0
CUST-000877,Investor,British,Dubai Creek Harbour,Studio,815000.0
CUST-004011,Investor,Canadian,Downtown Dubai,Townhouse,2710000.0
CUST-002305,Investor,British,Mohammed Bin Rashid City (MBR City),Apartment,1845000.0
CUST-001732,End User,Egyptian,Jumeirah Lake Towers (JLT),Apartment,560000.0
CUST-001145,Investor,Canadian,,Apartment,790000.0
CUST-000450,End User,Jordanian,Business Bay,Apartment,1155000.0
CUST-003376,End User,French,Dubai Marina,Villa,4500000.0
CUST-002644,Investor,Saudi,Mohammed Bin Rashid City (MBR City),Apartment,735000.0
CUST-000724,Investor,Indian,Dubai Marina,Apartment,1130000.0
CUST-000562,Investor,British,Mohammed Bin Rashid City (MBR City),Apartment,1240000.0
CUST-002274,Investor,South African,Al Furjan,Penthouse,5790000.0
CUST-001635,Investor,American,Jumeirah Lake Towers (JLT),Townhouse,
CUST-000195,End User,Indian,Downtown Dubai,Apartment,1480000.0
CUST-003191,Investor,Indian,Business Bay,Apartment,2320000.0
CUST-000771,End User,Chinese,Arabian Ranches,Villa,5905000.0
CUST-000617,Investor,Russian,Mohammed Bin Rashid City (MBR City),Villa,4460000.0
CUST-004080,End User,Indian,Business Bay,Studio,1365000.0
CUST-003614,End User,British,Al Furjan,Studio,985000.0
CUST-002448,Investor,British,Dubai Creek Harbour,Townhouse,1985000.0
CUST-001096,Investor,Russian,Palm Jumeirah,Studio,1085000.0
CUST-002422,Investor,Emirati,,Apartment,1965000.0
CUST-004031,Investor,Jordanian,Dubai Hills Estate,Apartment,1580000.0
CUST-002467,Investor,British,Jumeirah Village Circle (JVC),Villa,2960000.0
CUST-003599,End User,British,Business Bay,Villa,6360000.0
CUST-003766,End User,Canadian,Jumeirah Lake Towers (JLT),Apartment,1055000.0
CUST-001179,End User,Emirati,Downtown Dubai,Villa,6475000.0
CUST-004441,End User,French,Dubai Marina,Villa,7105000.0
CUST-000447,End User,Chinese,Downtown Dubai,Apartment,1380000.0
CUST-000173,End User,Emirati,Downtown Dubai,Apartment,1765000.0
CUST-004286,Investor,Filipino,Palm Jumeirah,Apartment,1140000.0
CUST-003817,Investor,Chinese,Downtown Dubai,Apartment,1425000.0
CUST-001180,Investor,American,Dubai Creek Harbour,Apartment,1735000.0
CUST-000733,Investor,Russian,Dubai Hills Estate,Apartment,790000.0
CUST-001902,Investor,American,Dubai Hills Estate,Apartment,970000.0
CUST-002671,Investor,American,,Apartment,1280000.0
CUST-001125,End User,Saudi,Jumeirah Village Circle (JVC),Villa,2500000.0
CUST-002647,End User,Pakistani,Dubai Marina,Apartment,1540000.0
CUST-002339,Investor,British,Dubai Marina,Apartment,1010000.0
CUST-000319,Investor,German,Jumeirah Village Circle (JVC),Apartment,1555000.0
CUST-004037,Investor,Filipino,Jumeirah Village Circle (JVC),Villa,5970000.0
CUST-001004,End User,British,Jumeirah Lake Towers (JLT),Studio,1270000.0
CUST-002726,Investor,Indian,Arabian Ranches,Apartment,2645000.0
CUST-004155,End User,Russian,Dubai Hills Estate,Apartment,
CUST-001392,Investor,Indian,Palm Jumeirah,Villa,5685000.0
CUST-003678,Investor,Chinese,Downtown Dubai,Apartment,1210000.0
CUST-003160,Investor,German,Arabian Ranches,Apartment,1360000.0
CUST-000982,End User,Russian,Jumeirah Village Circle (JVC),Villa,3770000.0
CUST-002762,Investor,Indian,Jumeirah Village Circle (JVC),Villa,4335000.0
CUST-001207,Investor,Emirati,Downtown Dubai,Studio,730000.0
CUST-000595,Investor,Emirati,Business Bay,Studio,1710000.0
CUST-003946,Investor,British,Dubai Hills Estate,Villa,5295000.0
CUST-002121,End User,Emirati,,Apartment,1310000.0
CUST-003815,End User,Ukrainian,Dubai Marina,Apartment,1445000.0
CUST-004721,Investor,British,Jumeirah Village Circle (JVC),Apartment,1685000.0
CUST-002433,End User,South African,Business Bay,Apartment,1895000.0
CUST-001407,Investor,Emirati,Jumeirah Village Circle (JVC),Studio,1340000.0
CUST-000740,End User,Indian,Dubai South,Villa,3055000.0
CUST-004287,Investor,German,Jumeirah Lake Towers (JLT),Apartment,
CUST-000922,Investor,Indian,Business Bay,Apartment,1375000.0
CUST-002548,Investor,Emirati,Business Bay,Studio,2155000.0
CUST-003572,Investor,Filipino,Arabian Ranches,Villa,4480000.0
CUST-002741,End User,Chinese,Jumeirah Lake Towers (JLT),Townhouse,1740000.0
CUST-003063,Investor,Indian,Jumeirah Village Circle (JVC),Studio,1415000.0
CUST-000700,Investor,Russian,Dubai Silicon Oasis,Townhouse,2075000.0
CUST-004650,End User,British,Dubai Hills Estate,Villa,8045000.0
CUST-001603,End User,Lebanese,Al Furjan,Apartment,1395000.0
CUST-002396,End User,Russian,Palm Jumeirah,Apartment,1830000.0
CUST-002078,Investor,Chinese,Dubai Marina,Townhouse,2220000.0
CUST-000474,Investor,Nigerian,Jumeirah Village Circle (JVC),Apartment,815000.0
CUST-000139,End User,Indian,Dubai Marina,Penthouse,3815000.0
CUST-003757,Investor,Indian,Dubai Hills Estate,Apartment,2700000.0
CUST-003022,Investor,Emirati,Al Furjan,Apartment,1775000.0
CUST-000475,End User,Saudi,Business Bay,Apartment,1595000.0
CUST-002245,Investor,American,Downtown Dubai,Villa,3480000.0
CUST-000329,End User,Indian,,Penthouse,5975000.0
CUST-004048,Investor,Canadian,Business Bay,Apartment,1355000.0
CUST-003007,End User,Indian,Palm Jumeirah,Apartment,750000.0
CUST-004857,End User,Emirati,Mohammed Bin Rashid City (MBR City),Apartment,
CUST-000747,End User,American,Downtown Dubai,Apartment,1015000.0
CUST-004598,Investor,British,Dubai Creek Harbour,Townhouse,1280000.0
CUST-003378,End User,Saudi,Dubai Marina,Apartment,1935000.0
CUST-002781,Investor,Chinese,Dubai Marina,Apartment,1950000.0
CUST-002083,End User,Emirati,Al Furjan,Villa,2740000.0
CUST-002997,Investor,British,Dubai Hills Estate,Villa,3955000.0
CUST-002104,Investor,Indian,Dubai Hills Estate,Townhouse,1595000.0
CUST-002627,Investor,Indian,Jumeirah Village Circle (JVC),Villa,7195000.0
CUST-004106,End User,Indian,Dubai Creek Harbour,Apartment,1440000.0
CUST-002499,Investor,Pakistani,Dubai Marina,Apartment,2230000.0
CUST-003106,End User,Chinese,Jumeirah Village Circle (JVC),Apartment,1730000.0
CUST-001171,Investor,Russian,Jumeirah Village Circle (JVC),Townhouse,3305000.0
CUST-001336,Investor,,Jumeirah Village Circle (JVC),Apartment,
CUST-002660,Investor,Chinese,Arabian Ranches,Apartment,1900000.0
CUST-000208,Investor,Indian,Mohammed Bin Rashid City (MBR City),Apartment,1970000.0
CUST-003833,Investor,British,Mohammed Bin Rashid City (MBR City),Villa,
CUST-004421,End User,Lebanese,Dubai Hills Estate,Apartment,1205000.0
CUST-001874,Investor,Indian,Downtown Dubai,Apartment,1510000.0
CUST-002934,Investor,Pakistani,Downtown Dubai,Apartment,705000.0
CUST-004307,Investor,French,Mohammed Bin Rashid City (MBR City),Penthouse,3440000.0
CUST-004622,Investor,British,Dubai Hills Estate,Villa,3050000.0
CUST-001423,End User,Russian,Arabian Ranches,Apartment,485000.0
CUST-004940,Investor,Pakistani,Dubai South,Townhouse,2345000.0
CUST-002854,End User,Indian,Dubai Marina,Villa,2630000.0
CUST-002393,Investor,Egyptian,Palm Jumeirah,Villa,4045000.0
CUST-004685,Investor,South African,Dubai Marina,Studio,1665000.0
CUST-002982,End User,Emirati,,Townhouse,3405000.0
CUST-003314,End User,Pakistani,Jumeirah Lake Towers (JLT),Penthouse,4660000.0
CUST-002523,End User,Pakistani,Downtown Dubai,Apartment,755000.0
CUST-000501,Investor,American,Mohammed Bin Rashid City (MBR City),Apartment,1205000.0
CUST-002407,End User,Pakistani,Arabian Ranches,Apartment,960000.0
CUST-004060,End User,British,Al Furjan,Studio,1665000.0
CUST-003039,Investor,Chinese,Jumeirah Village Circle (JVC),Studio,1350000.0
CUST-003943,Investor,Saudi,Jumeirah Village Circle (JVC),Villa,5210000.0
CUST-004686,Investor,French,Jumeirah Lake Towers (JLT),Apartment,1485000.0
CUST-002344,Investor,Lebanese,Downtown Dubai,Apartment,1735000.0
CUST-002414,Investor,Emirati,Jumeirah Lake Towers (JLT),Apartment,1835000.0
CUST-003900,Investor,Indian,Dubai Hills Estate,Villa,1095000.0
CUST-002894,Investor,Indian,Dubai Hills Estate,Apartment,1475000.0
CUST-003284,End User,Emirati,Arabian Ranches,Villa,6735000.0
CUST-004645,Investor,American,Downtown Dubai,Studio,400000.0
CUST-001391,End User,German,Dubai South,Studio,1165000.0
CUST-002415,End User,Lebanese,Jumeirah Village Circle (JVC),Penthouse,3970000.0
CUST-000768,End User,,Al Furjan,Villa,4375000.0
CUST-001538,End User,Russian,Jumeirah Village Circle (JVC),Apartment,805000.0
CUST-004418,Investor,Jordanian,Jumeirah Village Circle (JVC),Townhouse,1615000.0
CUST-000189,Investor,Italian,Dubai Hills Estate,Villa,2265000.0
CUST-004923,Investor,Egyptian,Dubai Marina,Apartment,1445000.0
CUST-004809,Investor,Indian,Dubai Hills Estate,Townhouse,1855000.0
CUST-001147,End User,Russian,Jumeirah Village Circle (JVC),Apartment,1530000.0
CUST-004753,End User,Indian,Dubai Marina,Apartment,555000.0
CUST-004503,End User,Pakistani,Jumeirah Village Circle (JVC),Studio,525000.0
CUST-004425,Investor,Saudi,Dubai Hills Estate,Apartment,755000.0
CUST-001460,Investor,Chinese,Business Bay,Apartment,
CUST-003984,End User,Saudi,,Apartment,1930000.0
CUST-001794,Investor,Russian,Dubai Marina,Penthouse,2500000.0
CUST-004858,Investor,Italian,Dubai Marina,Apartment,1165000.0
CUST-001991,End User,American,Dubai Hills Estate,Penthouse,2920000.0
CUST-002398,End User,Lebanese,Dubai Hills Estate,Apartment,925000.0
CUST-000428,End User,Chinese,Dubai Marina,Townhouse,2890000.0
CUST-004694,Investor,Iranian,Al Furjan,Apartment,1270000.0
CUST-003667,End User,Indian,Dubai Marina,Townhouse,1590000.0
CUST-000910,End User,Nigerian,Dubai Marina,Townhouse,2715000.0
CUST-001562,End User,Lebanese,Palm Jumeirah,Apartment,1500000.0
CUST-002462,Investor,British,Mohammed Bin Rashid City (MBR City),Studio,1370000.0
CUST-001459,End User,Chinese,Arabian Ranches,Townhouse,2370000.0
CUST-000701,End User,Russian,Business Bay,Apartment,490000.0
CUST-003068,Investor,Egyptian,Downtown Dubai,Townhouse,1845000.0
CUST-003796,Investor,Chinese,Jumeirah Village Circle (JVC),Apartment,1590000.0
CUST-001399,Investor,Chinese,Downtown Dubai,Apartment,1050000.0
CUST-000055,Investor,Emirati,Downtown Dubai,Penthouse,5430000.0
CUST-003304,Investor,Indian,Dubai South,Villa,1930000.0
CUST-001585,Investor,Russian,Dubai Marina,Apartment,1905000.0
CUST-004779,End User,Iranian,Dubai Marina,Apartment,1890000.0
CUST-001059,Investor,Egyptian,Dubai Creek Harbour,Apartment,635000.0
CUST-004914,Investor,British,Jumeirah Lake Towers (JLT),Apartment,550000.0
CUST-001846,End User,Indian,Dubai Hills Estate,Apartment,1625000.0
CUST-003962,Investor,Egyptian,Business Bay,Apartment,1140000.0
CUST-003446,Investor,Pakistani,Business Bay,Apartment,1110000.0
CUST-003325,Investor,Chinese,Downtown Dubai,Apartment,1905000.0
CUST-000789,Investor,German,Downtown Dubai,Townhouse,3040000.0
CUST-004401,End User,Indian,Jumeirah Village Circle (JVC),Villa,5905000.0
CUST-001966,End User,American,Jumeirah Village Circle (JVC),Apartment,1090000.0
CUST-004120,End User,,Jumeirah Village Circle (JVC),Apartment,1245000.0
CUST-000211,Investor,British,Dubai Creek Harbour,Apartment,1985000.0
CUST-001599,End User,Indian,Business Bay,Apartment,2040000.0
CUST-000589,End User,Nigerian,Dubai South,Apartment,1935000.0
CUST-002168,End User,Russian,Dubai South,Apartment,1585000.0
CUST-001138,End User,,Palm Jumeirah,Apartment,1990000.0
CUST-002243,Investor,Indian,Downtown Dubai,Studio,1885000.0
CUST-003038,End User,Egyptian,Arabian Ranches,Apartment,1480000.0
CUST-002118,Investor,British,Dubai South,Apartment,1210000.0
CUST-003945,Investor,Pakistani,Business Bay,Apartment,2655000.0
CUST-001808,End User,Italian,Dubai Creek Harbour,Apartment,1695000.0
CUST-002535,Investor,Pakistani,Dubai Marina,Apartment,655000.0
CUST-001522,Investor,British,Dubai Hills Estate,Studio,1585000.0
CUST-004981,Investor,,Downtown Dubai,Penthouse,6525000.0
CUST-002426,End User,Chinese,Downtown Dubai,Apartment,1885000.0
CUST-000961,End User,Nigerian,Damac Hills 2,Villa,6180000.0
CUST-001115,Investor,,Dubai Marina,Apartment,1405000.0
CUST-004511,End User,Emirati,Downtown Dubai,Studio,1225000.0
CUST-003703,End User,Emirati,Dubai South,Villa,7420000.0
CUST-002379,Investor,South African,Downtown Dubai,Apartment,1530000.0
CUST-004538,End User,Emirati,Jumeirah Lake Towers (JLT),Apartment,1625000.0
CUST-002632,Investor,Emirati,,Apartment,1080000.0
CUST-004178,End User,British,Dubai Marina,Townhouse,2550000.0
CUST-001105,End User,Egyptian,Dubai Marina,Villa,3315000.0
CUST-003898,End User,Emirati,Dubai South,Apartment,1305000.0
CUST-004955,Investor,Chinese,Downtown Dubai,Apartment,675000.0
CUST-004990,Investor,Canadian,Dubai Hills Estate,Apartment,1900000.0
CUST-004528,End User,Emirati,Palm Jumeirah,Penthouse,6810000.0
CUST-004516,Investor,British,Dubai Marina,Apartment,820000.0
CUST-004716,End User,Saudi,Dubai Hills Estate,Apartment,1290000.0
CUST-004319,Investor,Indian,Dubai Marina,Penthouse,2115000.0
CUST-004315,End User,Indian,Arabian Ranches,Apartment,1350000.0
CUST-004411,Investor,American,Downtown Dubai,Apartment,1655000.0
CUST-003391,Investor,British,,Apartment,880000.0
CUST-000188,Investor,Saudi,Dubai South,Studio,1645000.0
CUST-001091,Investor,American,Dubai Marina,Townhouse,2850000.0
CUST-004300,Investor,Indian,Dubai Marina,Apartment,665000.0
CUST-004092,Investor,Nigerian,Business Bay,Penthouse,4525000.0
CUST-003613,Investor,French,Palm Jumeirah,Apartment,1350000.0
CUST-000306,End User,Ukrainian,Mohammed Bin Rashid City (MBR City),Studio,1435000.0
CUST-000662,Investor,British,Jumeirah Village Circle (JVC),Apartment,1015000.0
CUST-002806,Investor,Saudi,Dubai Hills Estate,Villa,2985000.0
CUST-000679,End User,Egyptian,Business Bay,Apartment,1845000.0
CUST-002170,End User,Emirati,Dubai Marina,Townhouse,1125000.0
CUST-004176,End User,American,Dubai Hills Estate,Studio,1730000.0
CUST-000563,End User,British,Dubai Creek Harbour,Villa,4575000.0
CUST-001060,End User,British,Dubai Hills Estate,Villa,
CUST-001263,Investor,Filipino,Al Furjan,Villa,1405000.0
CUST-002858,End User,Filipino,Jumeirah Lake Towers (JLT),Apartment,2365000.0
CUST-002001,Investor,Nigerian,Downtown Dubai,Apartment,1095000.0
CUST-003493,End User,Filipino,Dubai South,Townhouse,1915000.0
CUST-004935,Investor,Chinese,Mohammed Bin Rashid City (MBR City),Townhouse,2265000.0
CUST-002758,Investor,Egyptian,Damac Hills 2,Apartment,1185000.0
CUST-000890,Investor,Russian,Dubai Silicon Oasis,Apartment,1575000.0
CUST-000986,Investor,Emirati,Dubai Marina,Apartment,500000.0
CUST-000184,Investor,Pakistani,Jumeirah Lake Towers (JLT),Villa,4150000.0
CUST-001626,End User,German,Dubai Silicon Oasis,Apartment,1370000.0
CUST-002718,Investor,South African,Dubai Hills Estate,Studio,1360000.0
CUST-001436,End User,Lebanese,Dubai Marina,Apartment,2175000.0
CUST-001941,End User,Chinese,Al Furjan,Apartment,2710000.0
CUST-000675,Investor,Chinese,Dubai Marina,Studio,2005000.0
CUST-002510,Investor,Pakistani,Jumeirah Lake Towers (JLT),Apartment,895000.0
CUST-004526,Investor,Pakistani,Downtown Dubai,Apartment,1730000.0
CUST-002843,Investor,Indian,Dubai South,Apartment,
CUST-002928,End User,Chinese,Dubai Hills Estate,Apartment,1045000.0
CUST-001382,Investor,Nigerian,,Apartment,410000.0
CUST-001565,End User,Chinese,Downtown Dubai,Apartment,1955000.0
CUST-001550,Investor,Indian,Dubai South,Villa,5290000.0
CUST-001490,Investor,Filipino,Palm Jumeirah,Studio,400000.0
CUST-004072,End User,German,Downtown Dubai,Studio,1465000.0
CUST-004479,Investor,Egyptian,Jumeirah Village Circle (JVC),Villa,5435000.0
CUST-002153,End User,Russian,Business Bay,Townhouse,3045000.0
CUST-001499,End User,Russian,Business Bay,Apartment,730000.0
CUST-002882,Investor,German,Arabian Ranches,Villa,3015000.0
CUST-003088,End User,French,Dubai Creek Harbour,Villa,4385000.0
CUST-003465,Investor,Jordanian,Jumeirah Lake Towers (JLT),Apartment,1420000.0
CUST-004936,Investor,Jordanian,Jumeirah Village Circle (JVC),Apartment,1700000.0
CUST-004853,End User,Indian,Dubai Marina,Villa,6355000.0
CUST-003200,Investor,French,Arabian Ranches,Apartment,1620000.0
CUST-000832,Investor,Canadian,Downtown Dubai,Apartment,805000.0
CUST-002750,End User,Chinese,Jumeirah Lake Towers (JLT),Apartment,920000.0
CUST-000230,Investor,Indian,Al Furjan,Villa,7290000.0
CUST-001649,End User,Emirati,Mohammed Bin Rashid City (MBR City),Studio,1165000.0
CUST-003361,End User,Indian,Downtown Dubai,Apartment,1085000.0
CUST-004384,End User,Saudi,Palm Jumeirah,Apartment,1760000.0
CUST-000719,End User,Saudi,,Townhouse,1280000.0
CUST-002682,Investor,South African,Palm Jumeirah,Studio,570000.0
CUST-002863,Investor,American,Dubai Hills Estate,Apartment,1225000.0
CUST-004781,Investor,Indian,Mohammed Bin Rashid City (MBR City),Studio,1560000.0
CUST-001197,Investor,British,Palm Jumeirah,Townhouse,2570000.0
CUST-000623,Investor,Chinese,Arabian Ranches,Townhouse,2695000.0
CUST-004708,Investor,Nigerian,Downtown Dubai,Apartment,1145000.0
CUST-002117,Investor,Lebanese,Downtown Dubai,Villa,5720000.0
CUST-004367,Investor,Chinese,Jumeirah Lake Towers (JLT),Apartment,1885000.0
CUST-002342,Investor,German,Jumeirah Village Circle (JVC),Apartment,1190000.0
CUST-001807,End User,Italian,Jumeirah Village Circle (JVC),Townhouse,2455000.0
CUST-002836,End User,Saudi,Al Furjan,Apartment,2230000.0
CUST-003610,End User,American,Jumeirah Village Circle (JVC),Studio,845000.0
CUST-004375,End User,British,Jumeirah Village Circle (JVC),Villa,4065000.0
CUST-001558,Investor,Egyptian,Business Bay,Apartment,1645000.0
CUST-002235,End User,Indian,Damac Hills 2,Apartment,1985000.0
CUST-000738,End User,Emirati,Dubai Hills Estate,Apartment,1255000.0
CUST-000799,End User,Saudi,,Villa,4065000.0
CUST-004654,End User,Pakistani,Business Bay,Apartment,1595000.0
CUST-004381,Investor,Canadian,Dubai Marina,Townhouse,
CUST-000388,Investor,Canadian,Business Bay,Apartment,715000.0
CUST-003539,Investor,Indian,Jumeirah Village Circle (JVC),Apartment,2605000.0
CUST-000980,Investor,Chinese,Al Furjan,Apartment,1315000.0
