Lead_ID,Lead_Date,Marketing_Channel,Campaign_Name,Marketing_Cost_AED,Customer_ID,Property_ID,Agent_ID,Lead_Status,Qualification_Date,Site_Visit_Date,Negotiation_Date,Booking_Date,Lost_Reason
LEAD-002756,2026-01-06,Website,Website_Organic_Blog,65.44,CUST-002756,PROP-00554,AGT-0030,Lost,2026-01-13,2026-01-21,,,Budget mismatch
LEAD-002319,2024-02-20,Referral,Referral_AgentNetwork,16.2,CUST-002319,PROP-00404,AGT-0015,Lost,,,,,Unit sold out before decision
LEAD-004172,2025-08-23,LinkedIn,LinkedIn_Sponsored_InvestorContent,492.18,CUST-004172,PROP-00125,AGT-0003,Lost,2025-09-05,2025-09-17,,,Budget mismatch
LEAD-004761,2024-03-01,Bayut,Bayut_HotDeal_Banner,433.05,CUST-004761,PROP-00414,AGT-0029,Lost,,,,,Visa / relocation fell through
LEAD-002191,2024-12-26,Google Ads,GAds_Search_VillasForSale,128.65,CUST-002191,PROP-00248,AGT-0029,Lost,,,,,Chose competitor project
LEAD-004715,2026-02-13,Google Ads,GAds_Search_Apartments_Dubai,155.49,CUST-004715,PROP-00530,AGT-0018,Sold,2026-02-25,2026-03-07,2026-03-11,2026-03-30,
LEAD-002868,2024-06-03,Instagram,IG_Story_LuxuryLiving,54.06,CUST-002868,PROP-00458,,Lost,2024-06-17,2024-06-22,2024-07-03,2024-07-20,Visa / relocation fell through
LEAD-003732,2024-09-10,Referral,Referral_ExistingClient,6.21,CUST-003732,PROP-00396,AGT-0029,Lost,,,,,Chose competitor project
LEAD-000471,2025-05-08,Google Ads,GAds_Display_InvestorDeals,214.04,CUST-000471,PROP-00110,AGT-0019,Sold,2025-05-20,2025-05-30,2025-06-05,2025-06-18,
LEAD-002531,2025-08-22,Instagram,IG_Reels_OffPlan_Q1,124.67,CUST-002531,PROP-00562,AGT-0005,Lost,,,,,Not responsive / went cold
LEAD-002212,2025-08-03,Google Ads,GAds_Search_Apartments_Dubai,175.43,CUST-002212,PROP-00179,AGT-0030,Lost,,,,,Postponed decision
LEAD-000626,2026-05-13,Website,Website_Organic_Blog,30.06,CUST-000626,PROP-00361,AGT-0044,Lost,2026-05-20,,,,Financing / mortgage rejected
LEAD-004203,2025-02-26,LinkedIn,LinkedIn_Sponsored_InvestorContent,443.27,CUST-004203,PROP-00409,AGT-0026,Lost,,,,,Chose competitor project
LEAD-004820,2025-05-11,Website,Website_Newsletter_Signup,74.96,CUST-004820,PROP-00050,AGT-0004,Lost,,,,,Budget mismatch
LEAD-001875,2024-11-01,Instagram,IG_Story_LuxuryLiving,38.55,CUST-001875,PROP-00177,AGT-0007,Lost,,,,,Unit sold out before decision
LEAD-004576,2024-04-27,Bayut,Bayut_Premium_Placement,336.75,CUST-004576,PROP-00320,AGT-0041,Lost,2024-05-10,2024-05-19,,,Visa / relocation fell through
LEAD-002062,2024-03-20,Instagram,IG_Story_LuxuryLiving,98.59,CUST-002062,PROP-00363,AGT-0007,Sold,2024-03-30,2024-04-04,2024-04-12,2024-04-27,
LEAD-003692,2024-07-27,Google Ads,GAds_Search_VillasForSale,203.87,CUST-003692,PROP-00180,AGT-0043,Lost,2024-08-05,2024-08-16,,,Unit sold out before decision
LEAD-002289,2025-07-16,Bayut,Bayut_HotDeal_Banner,417.72,CUST-002289,PROP-00459,AGT-0029,Lost,,,,,Chose competitor project
LEAD-004127,2026-04-07,Bayut,Bayut_Featured_Listing,83.09,CUST-004127,PROP-00467,,Sold,2026-04-14,2026-04-17,2026-04-20,2026-05-10,
LEAD-000371,2024-06-04,Instagram,IG_Story_LuxuryLiving,138.36,CUST-000371,PROP-00520,AGT-0039,Lost,,,,,Postponed decision
LEAD-004399,2026-04-13,Website,Website_Organic_Blog,47.63,CUST-004399,PROP-00217,AGT-0036,Lost,,,,,Unit sold out before decision
LEAD-003245,2024-04-03,Bayut,Bayut_HotDeal_Banner,429.68,CUST-003245,PROP-00361,AGT-0001,Lost,,,,,Unit sold out before decision
LEAD-001219,2025-06-27,Google Ads,GAds_Retargeting_OffPlan,253.47,CUST-001219,PROP-00599,AGT-0041,Lost,,,,,Financing / mortgage rejected
LEAD-003504,2025-02-12,Bayut,Bayut_Featured_Listing,90.2,CUST-003504,PROP-00595,AGT-0015,Lost,,,,,Unit sold out before decision
LEAD-003558,2025-07-20,Google Ads,GAds_Search_VillasForSale,166.95,CUST-003558,PROP-00162,AGT-0042,Sold,2025-07-28,2025-08-09,2025-08-14,2025-08-26,
LEAD-000276,2025-01-31,Instagram,IG_Influencer_Push,179.12,CUST-000276,PROP-00150,AGT-0018,Lost,,,,,Found cheaper unit elsewhere
LEAD-004551,2024-12-22,Website,Website_Landing_NewLaunch,28.88,CUST-004551,PROP-00531,AGT-0036,Lost,,,,,Postponed decision
LEAD-003071,2025-12-29,Instagram,IG_Story_LuxuryLiving,53.16,CUST-003071,PROP-00128,AGT-0034,Sold,2026-01-02,2026-01-06,2026-01-09,2026-01-20,
LEAD-000196,2025-12-06,Bayut,Bayut_Featured_Listing,366.33,CUST-000196,PROP-00142,AGT-0034,Lost,,,,,Postponed decision
LEAD-003779,2026-06-20,Bayut,Bayut_HotDeal_Banner,257.72,CUST-003779,PROP-00235,AGT-0024,Lost,,,,,Financing / mortgage rejected
LEAD-002262,2025-10-09,Instagram,IG_Story_LuxuryLiving,40.21,CUST-002262,PROP-00546,AGT-0021,Lost,,,,,Budget mismatch
LEAD-004338,2025-02-21,Referral,Referral_ExistingClient,47.63,CUST-004338,PROP-00032,AGT-0009,Lost,,,,,Financing / mortgage rejected
LEAD-001441,2024-12-30,Google Ads,GAds_Search_Apartments_Dubai,191.0,CUST-001441,PROP-00186,AGT-0032,Sold,2025-01-10,2025-01-16,2025-01-28,2025-02-16,
LEAD-001126,2025-11-12,Instagram,IG_Story_LuxuryLiving,123.58,CUST-001126,PROP-00421,AGT-0044,Lost,2025-11-20,2025-11-23,2025-11-26,,Unit sold out before decision
LEAD-000677,2026-05-09,Instagram,IG_Story_LuxuryLiving,179.22,CUST-000677,PROP-00595,AGT-0020,Lost,2026-05-14,,,,Postponed decision
LEAD-002606,2026-01-28,Website,Website_Landing_NewLaunch,32.62,CUST-002606,PROP-00169,AGT-0034,Lost,,,,,Budget mismatch
LEAD-003019,2026-01-20,Google Ads,GAds_Search_Apartments_Dubai,230.76,CUST-003019,PROP-00415,AGT-0044,Lost,2026-01-27,2026-02-08,,,Unit sold out before decision
LEAD-003033,2025-12-01,Bayut,Bayut_Featured_Listing,433.33,CUST-003033,PROP-00360,AGT-0044,Lost,,,,,Found cheaper unit elsewhere
LEAD-000162,2025-09-11,Referral,Referral_AgentNetwork,8.8,CUST-000162,PROP-00165,AGT-0022,Lost,2025-09-22,2025-10-04,2025-10-06,,Unit sold out before decision
LEAD-002064,2025-12-29,Bayut,Bayut_Featured_Listing,145.83,CUST-002064,PROP-00486,AGT-0039,Lost,,,,,Found cheaper unit elsewhere
LEAD-003691,2024-04-10,Website,Website_Newsletter_Signup,28.75,CUST-003691,PROP-00515,AGT-0034,Lost,,,,,Not responsive / went cold
LEAD-001842,2024-04-01,Bayut,Bayut_Premium_Placement,228.09,CUST-001842,PROP-00486,AGT-0032,Lost,,,,,Budget mismatch
LEAD-004559,2024-08-08,Bayut,Bayut_Premium_Placement,234.83,CUST-004559,PROP-00424,AGT-0032,Lost,,,,,Budget mismatch
LEAD-000079,2025-08-07,Google Ads,GAds_Display_InvestorDeals,130.57,CUST-000079,PROP-00095,AGT-0010,Sold,2025-08-12,2025-08-26,2025-09-02,2025-09-19,
LEAD-001537,2025-05-07,Referral,Referral_AgentNetwork,46.86,CUST-001537,PROP-00261,AGT-0010,Lost,,,,,Budget mismatch
LEAD-002765,2025-01-15,Referral,Referral_ExistingClient,20.68,CUST-002765,PROP-00005,AGT-0015,Lost,,,,,Not responsive / went cold
LEAD-002922,2025-11-10,Website,Website_Landing_NewLaunch,81.44,CUST-002922,PROP-00363,AGT-0039,Lost,,,,,Chose competitor project
LEAD-002173,2025-10-30,Google Ads,GAds_Retargeting_OffPlan,284.31,CUST-002173,PROP-00176,AGT-0039,Lost,,,,,Visa / relocation fell through
LEAD-004434,2025-01-31,Instagram,IG_Influencer_Push,88.3,CUST-004434,PROP-00100,AGT-0024,Sold,2025-02-12,2025-02-19,2025-02-24,2025-02-28,
LEAD-000568,2024-12-30,Instagram,IG_Story_LuxuryLiving,121.56,CUST-000568,PROP-00514,AGT-0008,Lost,2025-01-09,,,,Found cheaper unit elsewhere
LEAD-001948,2026-05-23,Referral,Referral_PartnerBroker,29.79,CUST-001948,PROP-00253,AGT-0044,Lost,,,,,Found cheaper unit elsewhere
LEAD-003384,2024-05-18,Instagram,IG_Carousel_PaymentPlan,165.29,CUST-003384,PROP-00418,AGT-0042,Lost,2024-05-25,2024-06-05,2024-06-10,,Budget mismatch
LEAD-001253,2024-07-19,Google Ads,GAds_Search_VillasForSale,221.2,CUST-001253,PROP-00398,AGT-0029,Lost,2024-07-27,2024-08-01,2024-08-09,,Not responsive / went cold
LEAD-001983,2026-04-07,LinkedIn,LinkedIn_InMail_HNWI,208.4,CUST-001983,PROP-00565,AGT-0018,Lost,,,,,Visa / relocation fell through
LEAD-000403,2024-11-15,LinkedIn,LinkedIn_Sponsored_InvestorContent,137.08,CUST-000403,PROP-00312,AGT-0006,Lost,,,,,Chose competitor project
LEAD-003894,2024-08-22,Instagram,IG_Reels_OffPlan_Q1,39.37,CUST-003894,PROP-00048,AGT-0040,Lost,,,,,Financing / mortgage rejected
LEAD-004435,2026-02-19,Google Ads,GAds_Search_Apartments_Dubai,189.02,CUST-004435,PROP-00224,AGT-0014,Lost,,,,,Found cheaper unit elsewhere
LEAD-002317,2026-04-07,Instagram,IG_Story_LuxuryLiving,97.21,CUST-002317,PROP-00335,AGT-0037,Lost,,,,,Postponed decision
LEAD-000688,2025-04-07,Google Ads,GAds_Search_VillasForSale,213.08,CUST-000688,PROP-00354,AGT-0009,Lost,2025-04-12,2025-04-26,,,Postponed decision
LEAD-000460,2025-03-03,Bayut,Bayut_Featured_Listing,432.6,CUST-000460,PROP-00048,AGT-0024,Lost,2025-03-12,2025-03-23,,,Unit sold out before decision
LEAD-000146,2024-10-12,Website,Website_Landing_NewLaunch,74.43,CUST-000146,PROP-00516,AGT-0044,Sold,2024-10-18,2024-10-21,2024-10-27,2024-11-13,
LEAD-004759,2024-07-20,Google Ads,GAds_Retargeting_OffPlan,208.82,CUST-004759,PROP-00319,AGT-0036,Lost,,,,,Not responsive / went cold
LEAD-002755,2026-04-09,Instagram,IG_Story_LuxuryLiving,50.23,CUST-002755,PROP-00345,AGT-0006,Lost,,,,,Financing / mortgage rejected
LEAD-004139,2025-09-20,Instagram,IG_Reels_OffPlan_Q1,93.5,CUST-004139,PROP-00243,AGT-0029,Lost,,,,,Not responsive / went cold
LEAD-004312,2024-09-21,Bayut,Bayut_Premium_Placement,446.41,CUST-004312,PROP-00507,AGT-0032,Lost,,,,,Unit sold out before decision
LEAD-001570,2026-02-22,LinkedIn,LinkedIn_Sponsored_InvestorContent,348.46,CUST-001570,PROP-00047,AGT-0020,Lost,,,,,Financing / mortgage rejected
LEAD-001228,2025-10-25,Google Ads,GAds_Display_InvestorDeals,121.01,CUST-001228,PROP-00123,AGT-0025,Lost,2025-11-05,2025-11-18,,,Budget mismatch
LEAD-003789,2026-03-20,Google Ads,GAds_Display_InvestorDeals,262.91,CUST-003789,PROP-00312,AGT-0007,Lost,,,,,Financing / mortgage rejected
LEAD-002689,2024-12-16,LinkedIn,LinkedIn_EventPromo,390.59,CUST-002689,PROP-00523,AGT-0040,Lost,2024-12-26,,,,Chose competitor project
LEAD-002037,2025-12-09,LinkedIn,LinkedIn_EventPromo,490.78,CUST-002037,PROP-00286,AGT-0043,Lost,,,,,Budget mismatch
LEAD-001859,2024-09-13,Bayut,Bayut_HotDeal_Banner,327.11,CUST-001859,PROP-00571,AGT-0026,Lost,2024-09-21,,,,Unit sold out before decision
LEAD-003491,2025-06-25,Google Ads,GAds_Display_InvestorDeals,95.25,CUST-003491,PROP-00182,,Lost,,,,,Postponed decision
LEAD-003736,2025-10-24,Referral,Referral_PartnerBroker,15.95,CUST-003736,PROP-00446,AGT-0031,Lost,,,,,Postponed decision
LEAD-000005,2025-04-11,Instagram,IG_Reels_OffPlan_Q1,54.73,CUST-000005,PROP-00134,AGT-0006,Lost,,,,,Chose competitor project
LEAD-004134,2025-09-04,Google Ads,GAds_Retargeting_OffPlan,296.99,CUST-004134,PROP-00285,AGT-0008,Lost,,,,,Financing / mortgage rejected
LEAD-001273,2024-02-20,Bayut,Bayut_Premium_Placement,81.97,CUST-001273,PROP-00462,AGT-0012,Lost,,,,,Visa / relocation fell through
LEAD-004636,2024-09-25,Bayut,Bayut_Featured_Listing,308.03,CUST-004636,PROP-00544,AGT-0009,Lost,,,,,Found cheaper unit elsewhere
LEAD-001344,2026-05-18,Bayut,Bayut_Featured_Listing,272.44,CUST-001344,PROP-00353,AGT-0037,Lost,,,,,Postponed decision
LEAD-003987,2026-04-14,Website,Website_Organic_Blog,35.48,CUST-003987,PROP-00323,AGT-0013,Lost,,,,,Financing / mortgage rejected
LEAD-000736,2026-02-09,Instagram,IG_Reels_OffPlan_Q1,126.52,CUST-000736,PROP-00267,AGT-0035,Lost,,,,,Found cheaper unit elsewhere
LEAD-001194,2025-03-16,Instagram,IG_Reels_OffPlan_Q1,62.24,CUST-001194,PROP-00412,AGT-0014,Sold,2025-03-27,2025-04-07,2025-04-17,2025-05-01,
LEAD-003440,2025-08-01,Instagram,IG_Influencer_Push,29.03,CUST-003440,PROP-00208,AGT-0029,Lost,,,,,Visa / relocation fell through
LEAD-003450,2024-05-24,Bayut,Bayut_Featured_Listing,323.75,CUST-003450,PROP-00583,AGT-0028,Lost,2024-05-31,,,,Budget mismatch
LEAD-000214,2025-09-16,Website,Website_Landing_NewLaunch,26.57,CUST-000214,PROP-00135,AGT-0021,Sold,2025-09-24,2025-10-02,2025-10-13,2025-10-21,
LEAD-001638,2024-07-01,Instagram,IG_Story_LuxuryLiving,31.45,CUST-001638,PROP-00395,,Sold,2024-07-04,2024-07-15,2024-07-22,2024-07-31,
LEAD-001662,2025-03-28,Google Ads,GAds_Display_InvestorDeals,177.31,CUST-001662,PROP-00244,AGT-0042,Lost,,,,,Budget mismatch
LEAD-004147,2026-06-14,Website,Website_Organic_Blog,41.54,CUST-004147,PROP-00436,AGT-0015,Lost,,,,,Visa / relocation fell through
LEAD-004349,2024-12-03,Website,Website_Newsletter_Signup,69.04,CUST-004349,PROP-00078,,Sold,2024-12-15,2024-12-23,2025-01-03,2025-01-06,
LEAD-004663,2025-01-01,Website,Website_Landing_NewLaunch,45.03,CUST-004663,PROP-00113,AGT-0036,Sold,2025-01-10,2025-01-15,2025-01-26,2025-01-30,
LEAD-000767,2026-06-04,Bayut,Bayut_HotDeal_Banner,437.07,CUST-000767,PROP-00502,AGT-0011,Qualified,2026-06-18,,,,
LEAD-003940,2026-06-12,Website,Website_Landing_NewLaunch,47.51,CUST-003940,PROP-00144,AGT-0013,Lost,,,,,Found cheaper unit elsewhere
LEAD-002452,2025-01-01,Instagram,IG_Reels_OffPlan_Q1,167.06,CUST-002452,PROP-00390,AGT-0044,Lost,2025-01-09,2025-01-22,,,Visa / relocation fell through
LEAD-004884,2024-03-23,Instagram,IG_Reels_OffPlan_Q1,109.84,CUST-004884,PROP-00099,AGT-0024,Lost,,,,,Chose competitor project
LEAD-001383,2024-08-08,Referral,Referral_AgentNetwork,47.46,CUST-001383,PROP-00296,AGT-0037,Lost,,,,,Postponed decision
LEAD-003770,2024-11-22,Instagram,IG_Reels_OffPlan_Q1,39.3,CUST-003770,PROP-00037,AGT-0036,Lost,2024-12-02,2024-12-09,2024-12-19,,Unit sold out before decision
LEAD-002611,2026-06-21,Instagram,IG_Carousel_PaymentPlan,33.24,CUST-002611,PROP-00121,AGT-0022,Qualified,2026-06-27,,,,
LEAD-004311,2025-03-02,Google Ads,GAds_Display_InvestorDeals,340.59,CUST-004311,PROP-00014,AGT-0003,Lost,2025-03-09,,,,Budget mismatch
LEAD-003875,2025-04-21,Google Ads,GAds_Search_Apartments_Dubai,344.75,CUST-003875,PROP-00412,AGT-0008,Lost,2025-04-30,2025-05-04,,,Visa / relocation fell through
LEAD-000877,2024-12-18,LinkedIn,LinkedIn_Sponsored_InvestorContent,196.51,CUST-000877,PROP-00560,AGT-0026,Lost,,,,,Found cheaper unit elsewhere
LEAD-004011,2024-01-03,Instagram,IG_Story_LuxuryLiving,154.29,CUST-004011,PROP-00321,AGT-0004,Sold,2024-01-08,2024-01-17,2024-01-19,2024-01-26,
LEAD-002305,2026-02-28,Google Ads,GAds_Retargeting_OffPlan,246.3,CUST-002305,PROP-00524,AGT-0021,Lost,2026-03-11,2026-03-19,,,Chose competitor project
LEAD-001732,2025-09-11,Bayut,Bayut_Featured_Listing,346.52,CUST-001732,PROP-00506,AGT-0044,Lost,2025-09-24,,,,Not responsive / went cold
LEAD-001145,2024-06-07,Google Ads,GAds_Retargeting_OffPlan,257.88,CUST-001145,PROP-00096,AGT-0009,Lost,2024-06-18,,,,Postponed decision
LEAD-000450,2025-09-14,Google Ads,GAds_Search_VillasForSale,194.58,CUST-000450,PROP-00370,AGT-0013,Sold,2025-09-25,2025-10-06,2025-10-10,2025-10-17,
LEAD-003376,2025-10-06,Google Ads,GAds_Search_Apartments_Dubai,292.39,CUST-003376,PROP-00411,,Lost,2025-10-18,,,,Found cheaper unit elsewhere
LEAD-002644,2024-09-03,Bayut,Bayut_HotDeal_Banner,384.36,CUST-002644,PROP-00539,AGT-0015,Lost,,,,,Visa / relocation fell through
LEAD-000724,2025-11-01,Website,Website_Organic_Blog,49.59,CUST-000724,PROP-00342,AGT-0025,Lost,,,,,Postponed decision
LEAD-000562,2024-03-05,Bayut,Bayut_Premium_Placement,329.48,CUST-000562,PROP-00056,AGT-0009,Lost,,,,,Unit sold out before decision
LEAD-002274,2025-06-06,Bayut,Bayut_Featured_Listing,231.7,CUST-002274,PROP-00359,AGT-0043,Lost,,,,,Postponed decision
LEAD-001635,2025-03-02,Instagram,IG_Carousel_PaymentPlan,108.66,CUST-001635,PROP-00264,AGT-0041,Lost,,,,,Found cheaper unit elsewhere
LEAD-000195,2024-10-10,Bayut,Bayut_HotDeal_Banner,325.03,CUST-000195,PROP-00259,AGT-0006,Lost,,,,,Postponed decision
LEAD-003191,2025-05-24,Instagram,IG_Story_LuxuryLiving,76.8,CUST-003191,PROP-00532,AGT-0006,Lost,2025-06-04,,,,Unit sold out before decision
LEAD-000771,2024-02-29,Google Ads,GAds_Display_InvestorDeals,290.34,CUST-000771,PROP-00436,AGT-0034,Lost,2024-03-10,2024-03-23,,,Visa / relocation fell through
LEAD-000617,2025-07-15,Website,Website_Newsletter_Signup,49.7,CUST-000617,PROP-00285,AGT-0022,Lost,,,,,Chose competitor project
LEAD-004080,2024-10-09,Google Ads,GAds_Retargeting_OffPlan,278.66,CUST-004080,PROP-00470,AGT-0042,Lost,,,,,Postponed decision
LEAD-003614,2026-05-31,Instagram,IG_Reels_OffPlan_Q1,148.69,CUST-003614,PROP-00560,AGT-0034,Lost,,,,,Found cheaper unit elsewhere
LEAD-002448,2025-07-05,Google Ads,GAds_Search_Apartments_Dubai,277.82,CUST-002448,PROP-00041,AGT-0015,Sold,2025-07-14,2025-07-25,2025-07-30,2025-08-11,
LEAD-001096,2024-04-09,Referral,Referral_ExistingClient,5.26,CUST-001096,PROP-00194,AGT-0030,Lost,2024-04-23,2024-04-26,,,Unit sold out before decision
LEAD-002422,2024-07-15,Google Ads,GAds_Display_InvestorDeals,64.6,CUST-002422,PROP-00005,AGT-0005,Lost,,,,,Budget mismatch
LEAD-004031,2025-07-23,Bayut,Bayut_Featured_Listing,215.43,CUST-004031,PROP-00316,AGT-0018,Lost,,,,,Visa / relocation fell through
LEAD-002467,2025-09-24,Bayut,Bayut_Featured_Listing,430.76,CUST-002467,PROP-00220,AGT-0042,Lost,2025-09-28,,,,Found cheaper unit elsewhere
LEAD-003599,2024-01-17,Instagram,IG_Story_LuxuryLiving,106.76,CUST-003599,PROP-00234,AGT-0029,Sold,2024-01-25,2024-02-04,2024-02-10,2024-02-20,
LEAD-003766,2024-04-23,Instagram,IG_Carousel_PaymentPlan,155.58,CUST-003766,PROP-00300,AGT-0010,Lost,,,,,Found cheaper unit elsewhere
LEAD-001179,2026-05-16,Website,Website_Landing_NewLaunch,24.93,CUST-001179,PROP-00001,AGT-0040,Lost,2026-05-28,,,,Unit sold out before decision
LEAD-004441,2024-04-04,Google Ads,GAds_Search_VillasForSale,179.33,CUST-004441,PROP-00200,AGT-0022,Lost,,,,,Postponed decision
LEAD-000447,2025-11-21,Google Ads,GAds_Retargeting_OffPlan,308.02,CUST-000447,PROP-00299,AGT-0022,Lost,2025-11-29,2025-12-12,,,Found cheaper unit elsewhere
LEAD-000173,2025-02-22,Instagram,IG_Influencer_Push,129.11,CUST-000173,PROP-00432,AGT-0013,Lost,,,,,Unit sold out before decision
LEAD-004286,2024-03-21,LinkedIn,LinkedIn_EventPromo,407.92,CUST-004286,PROP-00505,AGT-0034,Lost,2024-03-26,2024-03-30,,,Unit sold out before decision
LEAD-003817,2024-09-17,Bayut,Bayut_Premium_Placement,240.69,CUST-003817,PROP-00273,AGT-0002,Lost,2024-09-23,2024-10-07,,,Not responsive / went cold
LEAD-001180,2025-07-13,Bayut,Bayut_Featured_Listing,447.1,CUST-001180,PROP-00355,AGT-0009,Lost,,,,,Budget mismatch
LEAD-000733,2026-05-31,Referral,Referral_PartnerBroker,16.34,CUST-000733,PROP-00419,AGT-0041,Booking,2026-06-09,2026-06-13,2026-06-23,2026-06-30,
LEAD-001902,2024-02-13,Instagram,IG_Story_LuxuryLiving,135.69,CUST-001902,PROP-00549,AGT-0021,Lost,,,,,Unit sold out before decision
LEAD-002671,2026-01-31,Instagram,IG_Carousel_PaymentPlan,152.36,CUST-002671,PROP-00534,,Lost,,,,,Visa / relocation fell through
LEAD-001125,2024-04-21,Google Ads,GAds_Display_InvestorDeals,334.67,CUST-001125,PROP-00434,AGT-0038,Lost,,,,,Postponed decision
LEAD-002647,2025-01-13,Google Ads,GAds_Search_Apartments_Dubai,218.73,CUST-002647,PROP-00191,AGT-0008,Lost,,,,,Unit sold out before decision
LEAD-002339,2025-03-30,Website,Website_Newsletter_Signup,35.13,CUST-002339,PROP-00570,AGT-0040,Lost,2025-04-07,2025-04-19,,,Not responsive / went cold
LEAD-000319,2025-09-28,Google Ads,GAds_Search_Apartments_Dubai,212.7,CUST-000319,PROP-00231,AGT-0002,Lost,2025-10-11,,,,Not responsive / went cold
LEAD-004037,2025-10-24,Google Ads,GAds_Search_VillasForSale,321.52,CUST-004037,PROP-00486,AGT-0006,Sold,2025-10-29,2025-11-08,2025-11-12,2025-12-02,
LEAD-001004,2024-04-12,Website,Website_Organic_Blog,22.46,CUST-001004,PROP-00320,AGT-0020,Sold,2024-04-18,2024-04-21,2024-04-25,2024-05-12,
LEAD-002726,2024-11-15,Referral,Referral_ExistingClient,33.25,CUST-002726,PROP-00482,AGT-0018,Lost,2024-11-19,,,,Chose competitor project
LEAD-004155,2025-04-14,Bayut,Bayut_HotDeal_Banner,174.08,CUST-004155,PROP-00207,AGT-0013,Lost,2025-04-24,2025-04-28,,,Not responsive / went cold
LEAD-001392,2024-09-02,Referral,Referral_AgentNetwork,20.83,CUST-001392,PROP-00596,AGT-0009,Lost,,,,,Postponed decision
LEAD-003678,2025-06-03,Google Ads,GAds_Display_InvestorDeals,241.8,CUST-003678,PROP-00319,AGT-0045,Lost,2025-06-08,2025-06-15,2025-06-17,,Not responsive / went cold
LEAD-003160,2026-06-27,Google Ads,GAds_Display_InvestorDeals,96.79,CUST-003160,PROP-00064,AGT-0044,Lost,,,,,Found cheaper unit elsewhere
LEAD-000982,2024-11-19,Bayut,Bayut_Premium_Placement,111.63,CUST-000982,PROP-00485,AGT-0028,Lost,,,,,Budget mismatch
LEAD-002762,2024-10-17,LinkedIn,LinkedIn_Sponsored_InvestorContent,445.69,CUST-002762,PROP-00486,AGT-0006,Lost,,,,,Financing / mortgage rejected
LEAD-001207,2025-08-10,LinkedIn,LinkedIn_Sponsored_InvestorContent,380.82,CUST-001207,PROP-00509,AGT-0040,Lost,,,,,Unit sold out before decision
